current_player,is_current_player_hand_winner,is_current_player_game_winner,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,num_melds,point_sum_melds,num_combos,point_sum_combos,num_knock_cache,point_sum_knock_cache,num_load_cards,point_sum_load_cards,turns_taken
0.0,1,1,45.0,23.0,46.0,9.0,0.0,0.0,5.0,34.0,4.0,5.0,2.0,9.0,2.0
1.0,0,0,45.0,23.0,36.0,4.0,1.0,22.0,0.0,0.0,3.0,6.0,3.0,25.0,3.0
0.0,1,1,45.0,23.0,39.0,8.0,0.0,0.0,5.0,20.0,4.0,5.0,3.0,17.0,3.0
1.0,0,0,45.0,23.0,29.0,5.0,1.0,22.0,1.0,4.0,3.0,4.0,3.0,19.0,4.0
0.0,1,1,45.0,23.0,26.0,8.0,1.0,3.0,3.0,15.0,3.0,4.0,2.0,9.0,4.0
1.0,0,0,45.0,23.0,12.0,6.0,1.0,39.0,1.0,4.0,3.0,4.0,1.0,4.0,5.0
0.0,1,1,45.0,23.0,26.0,8.0,1.0,3.0,3.0,15.0,3.0,4.0,2.0,9.0,5.0
1.0,0,0,45.0,23.0,12.0,6.0,1.0,39.0,1.0,4.0,3.0,4.0,1.0,4.0,6.0
0.0,1,1,45.0,23.0,26.0,7.0,1.0,3.0,3.0,15.0,3.0,4.0,2.0,9.0,6.0
0.0,1,1,45.0,23.0,8.0,4.0,2.0,17.0,0.0,0.0,3.0,5.0,0.0,0.0,7.0
0.0,1,1,48.0,23.0,40.0,4.0,1.0,24.0,2.0,13.0,3.0,3.0,2.0,19.0,0.0
1.0,0,0,48.0,23.0,70.0,4.0,0.0,0.0,2.0,34.0,3.0,5.0,3.0,25.0,0.0
0.0,1,1,48.0,23.0,34.0,4.0,1.0,24.0,2.0,13.0,4.0,6.0,1.0,10.0,1.0
1.0,0,0,48.0,23.0,63.0,6.0,0.0,0.0,3.0,23.0,3.0,4.0,4.0,35.0,1.0
0.0,1,1,48.0,23.0,26.0,8.0,1.0,24.0,4.0,18.0,4.0,4.0,1.0,3.0,2.0
1.0,0,0,48.0,23.0,60.0,6.0,0.0,0.0,3.0,23.0,3.0,4.0,4.0,31.0,2.0
0.0,1,1,48.0,23.0,25.0,6.0,1.0,24.0,3.0,6.0,4.0,4.0,3.0,14.0,3.0
1.0,0,0,48.0,23.0,60.0,6.0,0.0,0.0,3.0,23.0,3.0,4.0,4.0,31.0,3.0
0.0,1,1,48.0,23.0,13.0,5.0,2.0,27.0,1.0,1.0,3.0,4.0,1.0,5.0,4.0
1.0,0,0,48.0,23.0,60.0,6.0,0.0,0.0,3.0,23.0,3.0,4.0,4.0,31.0,4.0
0.0,1,1,48.0,23.0,13.0,5.0,2.0,27.0,1.0,1.0,3.0,4.0,1.0,5.0,5.0
1.0,0,0,48.0,23.0,60.0,6.0,0.0,0.0,3.0,23.0,3.0,4.0,4.0,31.0,5.0
0.0,1,1,48.0,23.0,13.0,5.0,2.0,27.0,1.0,1.0,3.0,4.0,1.0,5.0,6.0
1.0,0,0,48.0,23.0,37.0,6.0,1.0,14.0,1.0,14.0,2.0,2.0,2.0,16.0,6.0
0.0,1,1,48.0,23.0,11.0,6.0,2.0,27.0,2.0,7.0,3.0,4.0,0.0,0.0,7.0
1.0,0,0,48.0,23.0,24.0,7.0,2.0,18.0,1.0,14.0,2.0,6.0,0.0,0.0,7.0
0.0,1,1,48.0,23.0,11.0,6.0,2.0,27.0,2.0,7.0,3.0,4.0,0.0,0.0,8.0
0.0,1,1,48.0,23.0,7.0,5.0,2.0,35.0,1.0,1.0,3.0,4.0,0.0,0.0,9.0
1.0,1,0,63.0,23.0,44.0,6.0,1.0,6.0,3.0,25.0,2.0,6.0,2.0,18.0,0.0
0.0,0,1,63.0,23.0,66.0,2.0,0.0,0.0,1.0,12.0,3.0,4.0,5.0,42.0,0.0
1.0,1,0,63.0,23.0,44.0,6.0,1.0,6.0,3.0,25.0,2.0,6.0,2.0,18.0,0.0
0.0,0,1,63.0,23.0,42.0,2.0,1.0,18.0,0.0,0.0,3.0,4.0,4.0,32.0,1.0
1.0,1,0,63.0,23.0,22.0,5.0,2.0,21.0,1.0,6.0,2.0,6.0,2.0,12.0,1.0
1.0,1,0,63.0,23.0,5.0,5.0,3.0,30.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0
0.0,1,1,63.0,45.0,33.0,5.0,1.0,12.0,3.0,21.0,4.0,5.0,1.0,5.0,0.0
1.0,0,0,63.0,45.0,67.0,5.0,0.0,0.0,3.0,47.0,3.0,4.0,3.0,22.0,0.0
0.0,1,1,63.0,45.0,33.0,5.0,1.0,12.0,3.0,21.0,4.0,5.0,1.0,5.0,0.0
